,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0023,-57.5575,59.0,71,90,4.61,AR,1616052184
1,nome,64.5011,-165.4064,3.2,72,1,6.91,US,1616052185
2,bredasdorp,-34.5322,20.0403,69.8,68,6,6.91,ZA,1616052186
3,seoul,37.5683,126.9778,66.2,39,75,11.5,KR,1616052187
4,cayenne,4.9333,-52.3333,78.01,94,100,9.15,GF,1616052188
5,castro,-24.7911,-50.0119,61.52,97,80,2.8,BR,1616052188
6,busselton,-33.65,115.3333,84.99,53,0,4.0,AU,1616052189
7,kandi,11.1342,2.9386,79.77,67,100,6.64,BJ,1616052190
8,mataura,-46.1927,168.8643,55.0,79,0,5.01,NZ,1616052191
9,corowa,-36.0333,146.3833,80.01,39,100,5.32,AU,1616052191
10,dzhebariki-khaya,62.2167,135.8,17.92,84,100,7.02,RU,1616052192
11,kargasok,59.0556,80.8572,28.87,91,96,8.75,RU,1616052193
12,tuktoyaktuk,69.4541,-133.0374,-13.72,93,79,3.13,CA,1616052194
13,arvika,59.6553,12.5852,28.4,74,40,4.61,SE,1616052195
14,cape town,-33.9258,18.4232,69.01,82,20,14.97,ZA,1616052156
15,byron bay,-28.65,153.6167,73.4,83,75,13.8,AU,1616052149
16,sorland,67.667,12.6934,33.8,69,0,14.97,NO,1616052197
17,maltahohe,-24.8333,16.9833,73.02,16,0,4.68,NA,1616052198
18,hermanus,-34.4187,19.2345,70.0,76,0,3.0,ZA,1616052198
19,tura,25.5198,90.2201,92.55,11,0,6.08,IN,1616052199
20,victoria,22.2855,114.1577,80.6,65,40,13.8,HK,1616052128
21,samandag,36.0842,35.9771,60.8,55,40,24.16,TR,1616052202
22,kapaa,22.0752,-159.319,70.0,78,40,21.85,US,1616051906
23,tasiilaq,65.6145,-37.6368,34.9,97,100,16.15,GL,1616052203
24,nouakchott,18.0858,-15.9785,64.4,82,0,8.05,MR,1616052073
25,devils lake,48.1128,-98.8651,24.8,63,1,3.47,US,1616052204
26,hithadhoo,-0.6,73.0833,83.64,66,88,7.14,MV,1616052205
27,nikolskoye,59.7035,30.7861,30.2,74,90,8.95,RU,1616052206
28,taos,36.4072,-105.5731,28.99,74,1,9.22,US,1616052207
29,qaanaaq,77.484,-69.3632,-17.07,91,9,1.14,GL,1616052207
30,uthal,25.8072,66.6219,94.26,13,85,5.66,PK,1616052208
31,barrow,71.2906,-156.7887,-5.8,77,1,10.36,US,1616052209
32,dikson,73.5069,80.5464,-7.2,92,100,11.27,RU,1616052210
33,macherla,16.4833,79.4333,97.77,23,62,10.4,IN,1616052210
